Date,KeyWords
2016-10-01,"['debate', 'campaign', 'presidential', 'universe', 'miss']"
2016-10-02,"['tax', 'return', 'leaked', 'taxes', 'records']"
2016-10-03,"['tax', 'taxes', 'surrogates', 'argue', 'returns']"
2016-10-04,"['tax', 'debate', 'pence', 'presidential', 'loss']"
2016-10-05,"['pence', 'kaine', 'taxes', 'g.o.p', 'debate']"
2016-10-06,"['takes', 'nevada', 'campaign', 'debates', 'hype']"
2016-10-07,"['tax', 'tape', 'amid', 'report', 'media']"
2016-10-08,"['lewd', 'apology', 'republicans', 'talk', 'remarks']"
2016-10-09,"['women', 'second', 'nbc', 'previews', 'record']"
2016-10-10,"['debate', 'second', 'jail', 'acknowledges', 'presidential']"
2016-10-11,"['ahead', 'ryan', 'life', 'lonely', 'male']"
2016-10-12,"['republican', 'tape', 'scary', 'senate', 'shackles']"
2016-10-13,"['women', 'calls', 'times', 'accusations', 'suspicious']"
2016-10-14,"['press', 'g.o.p', 'blames', 'stories', 'accusers']"
2016-10-15,"['republican', 'allegations', 'age', 'leave', 'magnate']"
2016-10-16,"['ballot', 'measure', 'north', 'officials', 'opponent']"
2016-10-17,"['claims', 'rigged', 'amy', 'reveals', 'network']"
2016-10-18,"['obama', 'big', 'whining', 'shameful', 'people']"
2016-10-19,"['debate', 'melania', 'polls', 'afterlife', 'silicon']"
2016-10-20,"['accept', 'abortion', 'snubs', 'presidential', 'protest']"
2016-10-21,"['democracy', 'smith', 'dinner', 'accelerate', 'mistake']"
2016-10-22,"['accusers', 'sue', 'republican', 'media', 'mr']"
2016-10-23,"['debate', 'aboard', 'rally', 's.n.l.', 'reveals']"
2016-10-24,"['big', 'abandoning', 'republicans', 'media', 'message']"
2016-10-25,"['acknowledges', 'scion', 'new', 'obama', 'obamacare']"
2016-10-26,"['hollywood', 'media', 'hotel', 'leaders', 'military']"
2016-10-27,"['abandoning', 'khizr', 'line', 'look', 'media']"
2016-10-28,"['sales', 'plot', 'probe', 'nasty', 'new']"
2016-10-29,"['campaign', 'adviser', 'singing', 'praises', 'questions']"
2016-10-30,"['final', 'email', 'aghast', 'shows', 'revels']"
2016-10-31,"['f.b.i', 'candidates', 'thiel', 'student', 'race']"
2016-11-01,"['aim', 'redirects', 'missouri', 'momentum', 'mr']"
2016-11-02,"['taxes', 'abandoned', 'sleeping', 'novel', 'obama']"
2016-11-03,"['voters', 'melania', 'american', 'solo', 'presidential']"
2016-11-04,"['ally', 'names', 'president', 'presidential', 'pull']"
2016-11-05,"['reality', 'act', 'splits', 'pack', 'pen']"
2016-11-06,"['age', 'new', 'obama', 'offstage', 'owner']"
2016-11-07,"['wins', 'voters', 'final', 'scramble', 'night']"
2016-11-08,"['media', 'wins', 'saying', 'people', 'phenomenon']"
2016-11-09,"['victory', 'president', 'career', 'path', 'trudeau']"
2016-11-10,"['obama', 'president', 'cordial', 'elect', 'meeting']"
2016-11-11,"['policy', 'market', 'foreign', 'shake', 'prescription']"
2016-11-12,"['presidency', 'affect', 'lies', 'lobbies', 'major']"
2016-11-13,"['obama', 'victory', 'sales', 'offer', 'overseas']"
2016-11-14,"['china', 'administration', 'seeking', 'picks', 'president']"
2016-11-15,"['team', 'looks', 'transition', 'professional', 'manhattan']"
2016-11-16,"['transition', 'align', 'security', 'long', 'megyn']"
2016-11-17,"['sessions', 'tests', 'cabinet', 'jeff', 'process']"
2016-11-18,"['team', 'national', 'starts', 'security', '25']"
2016-11-19,"['administration', 'reinstated', 'mccain', 'miners', 'muslim']"
2016-11-20,"['elect', 'president', 'ties', 'business', 'addressing']"
2016-11-21,"['100-day', 'kris', 'making', 'melania', 'murkier']"
2016-11-22,"['new', 'advocates', 'jobs', 'limit', 'long']"
2016-11-23,"['nikki', 'betsy', 'devos', 'haley', 'properties']"
2016-11-24,"['pick', 'accept', 'neighbors', 'potential', 'player']"
2016-11-25,"['romney', 'adds', 'security', 'obama', 'options']"
2016-11-26,"['conflicts', '80s', 'risk', 'nominees', 'officials']"
2016-11-27,"['briefing', 'monday', 'calls', 'castro', 'elect']"
2016-11-28,"['amid', 'ballots', 'candidates', 'concerns', 'efforts']"
2016-11-29,"['bashir', 'care', 'chooses', 'critic', 'guaranteed']"
2016-11-30,"['announces', 'appointees', 'commerce', 'drain', 'formally']"
